feature_source,feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,half_life_hours,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
standard,all,1500.0,0.22,0.0,0.25,240.0,389,254,7.94,7.936901018059261,0.09521474138217954,0.07254978496077504,0.0613653353457562
standard,all,1500.0,0.22,0.0,0.4,240.0,389,254,7.94,7.936901018059261,0.09521474138217954,0.07254978496077504,0.0613653353457562
standard,all,1500.0,0.25,0.25,0.15,120.0,389,254,7.94,7.936936189085642,0.09476941750558347,0.07263512312535476,0.06172629860169803
standard,all,1500.0,0.25,0.25,0.25,120.0,389,254,7.94,7.936936189085642,0.09476941750558347,0.07263512312535476,0.06172629860169803
standard,all,1500.0,0.25,0.25,0.4,120.0,389,254,7.94,7.936936189085642,0.09476941750558347,0.07263512312535476,0.06172629860169803
standard,all,1000.0,0.25,0.0,0.15,72.0,389,254,7.94,7.937008003150736,0.09435569613632379,0.07274056238421168,0.062036576712091465
standard,all,500.0,0.12,0.0,0.25,240.0,389,254,7.94,7.937054209932293,0.09546497627768055,0.07255202299300223,0.06111712023244169
standard,all,500.0,0.12,0.0,0.4,240.0,389,254,7.94,7.937054209932293,0.09546497627768055,0.07255202299300223,0.06111712023244169
standard,all,1500.0,0.22,0.25,0.15,72.0,389,254,7.94,7.937083482969842,0.09458785545590466,0.07271599373521781,0.06183108392602393
standard,all,1500.0,0.22,0.25,0.25,72.0,389,254,7.94,7.937083482969842,0.09458785545590466,0.07271599373521781,0.06183108392602393
standard,all,1500.0,0.22,0.25,0.4,72.0,389,254,7.94,7.937083482969842,0.09458785545590466,0.07271599373521781,0.06183108392602393
standard,all,1000.0,0.12,0.0,0.25,240.0,389,254,7.94,7.937185107960687,0.09540142732238985,0.07255696091740269,0.06117936943791384
standard,all,1000.0,0.12,0.0,0.4,240.0,389,254,7.94,7.937185107960687,0.09540142732238985,0.07255696091740269,0.06117936943791384
standard,all,1000.0,0.18,0.0,0.08,240.0,389,254,7.94,7.937206682462072,0.09528248433787892,0.07254895890629366,0.061306914073941905
standard,all,1500.0,0.3,0.25,0.15,72.0,389,254,7.94,7.937228067806679,0.09424613788702277,0.07278540884880767,0.06210740496516087
standard,all,1500.0,0.3,0.25,0.25,72.0,389,254,7.94,7.937228067806679,0.09424613788702277,0.07278540884880767,0.06210740496516087
standard,all,1500.0,0.3,0.25,0.4,72.0,389,254,7.94,7.937228067806679,0.09424613788702277,0.07278540884880767,0.06210740496516087
standard,all,1000.0,0.12,0.0,0.15,240.0,389,254,7.94,7.937303626746917,0.09540142732238985,0.07255696091740269,0.061182663540526754
standard,all,500.0,0.15,0.0,0.25,240.0,389,254,7.94,7.937341916699658,0.09543557655852983,0.07255138666951357,0.061155152779692794
standard,all,500.0,0.15,0.0,0.4,240.0,389,254,7.94,7.937341916699658,0.09543557655852983,0.07255138666951357,0.061155152779692794
standard,all,1500.0,0.18,0.0,0.08,240.0,389,254,7.94,7.9373444537057525,0.0952884229349174,0.07254968475977762,0.0613040788263415
standard,all,1000.0,0.15,0.0,0.08,240.0,389,254,7.94,7.937436553456956,0.09533608212593561,0.07255085474517087,0.06125780946031958
standard,all,1000.0,0.3,0.0,0.25,120.0,389,254,7.94,7.937440481845903,0.0946430120226926,0.0726470118622037,0.0618548316316932
standard,all,1000.0,0.3,0.0,0.4,120.0,389,254,7.94,7.937440481845903,0.0946430120226926,0.0726470118622037,0.0618548316316932
standard,all,1500.0,0.22,0.25,0.15,120.0,389,254,7.94,7.937443865421456,0.09486764839272323,0.07262244649537938,0.06165485467116985
standard,all,1500.0,0.22,0.25,0.25,120.0,389,254,7.94,7.937443865421456,0.09486764839272323,0.07262244649537938,0.06165485467116985
standard,all,1500.0,0.22,0.25,0.4,120.0,389,254,7.94,7.937443865421456,0.09486764839272323,0.07262244649537938,0.06165485467116985
standard,all,1000.0,0.22,0.0,0.25,240.0,389,254,7.94,7.937465274253741,0.09523407967301838,0.07255789733342992,0.061353567587208765
standard,all,1000.0,0.22,0.0,0.4,240.0,389,254,7.94,7.937465274253741,0.09523407967301838,0.07255789733342992,0.061353567587208765
standard,all,1500.0,0.2,0.0,0.08,240.0,389,254,7.94,7.9374952110755626,0.09525379354693655,0.07254820511774653,0.06134437798902614
