rate_smoothing_weeks,publisher_smoothing,hour_smoothing,cpm_smoothing,session_power,hazard_blend_weight,selection_metric_percent,selection_metric_raw_percent
1.5,25.0,25.0,1000.0,1.0,0.15,11.57,11.57165989265112
1.5,25.0,25.0,0.0,1.0,0.15,11.57,11.572236618987809
1.5,100.0,25.0,0.0,0.5,0.15,11.59,11.586432456762363
1.5,100.0,25.0,1000.0,0.5,0.15,11.6,11.596722667931436
3.0,25.0,100.0,1000.0,0.5,0.15,11.83,11.826178262400223
3.0,25.0,100.0,0.0,0.5,0.15,11.83,11.827452385262461
0.5,25.0,100.0,1000.0,1.0,0.2,11.84,11.839120543285997
0.5,25.0,100.0,0.0,1.0,0.2,11.84,11.84119638424377
3.0,25.0,25.0,1000.0,0.5,0.15,11.87,11.866755587409482
3.0,25.0,25.0,0.0,0.5,0.15,11.87,11.869382450355337
0.5,25.0,25.0,1000.0,1.0,0.2,11.89,11.888529919681767
0.5,25.0,25.0,0.0,1.0,0.2,11.89,11.890044504870234
1.5,100.0,100.0,0.0,1.0,0.15,11.93,11.930274900071037
1.5,100.0,100.0,1000.0,1.0,0.15,11.93,11.93238137661201
1.5,100.0,25.0,0.0,1.0,0.15,11.94,11.944301686585979
1.5,100.0,25.0,1000.0,1.0,0.15,11.95,11.946787542048853
0.5,100.0,100.0,1000.0,0.5,0.2,11.98,11.983126845065106
0.5,100.0,100.0,0.0,0.5,0.2,11.99,11.98555310438616
0.5,100.0,25.0,1000.0,0.5,0.2,12.07,12.07224699438183
0.5,100.0,25.0,0.0,0.5,0.2,12.08,12.075121087106645
3.0,100.0,100.0,1000.0,0.5,0.15,12.22,12.21612960432823
3.0,100.0,100.0,0.0,0.5,0.15,12.22,12.218502481903727
3.0,100.0,25.0,1000.0,0.5,0.15,12.25,12.2474826524676
3.0,100.0,25.0,0.0,0.5,0.15,12.25,12.248353441907266
3.0,25.0,100.0,1000.0,1.0,0.15,12.27,12.270169595093282
3.0,25.0,100.0,0.0,1.0,0.15,12.27,12.270245241581112
3.0,25.0,25.0,0.0,1.0,0.15,12.3,12.298991148247751
3.0,25.0,25.0,1000.0,1.0,0.15,12.3,12.299086877155263
0.5,100.0,100.0,0.0,1.0,0.2,12.45,12.451382918182086
0.5,100.0,100.0,1000.0,1.0,0.2,12.46,12.456049032376693
0.5,100.0,25.0,1000.0,1.0,0.2,12.53,12.52503296871874
0.5,100.0,25.0,0.0,1.0,0.2,12.53,12.529985713035385
1.5,25.0,100.0,1000.0,0.5,0.2,12.61,12.610784871726356
1.5,25.0,100.0,0.0,0.5,0.2,12.61,12.613969225098366
3.0,100.0,100.0,0.0,1.0,0.15,12.66,12.660651535108247
3.0,100.0,100.0,1000.0,1.0,0.15,12.66,12.662580508769516
3.0,100.0,25.0,0.0,1.0,0.15,12.69,12.688802902108431
3.0,100.0,25.0,1000.0,1.0,0.15,12.69,12.690662317680633
1.5,25.0,25.0,0.0,0.5,0.2,12.7,12.70124404189874
1.5,25.0,25.0,1000.0,0.5,0.2,12.71,12.711144832008415
1.5,25.0,100.0,1000.0,1.0,0.2,13.21,13.212627875735716
1.5,25.0,100.0,0.0,1.0,0.2,13.22,13.215734852214656
1.5,100.0,100.0,1000.0,0.5,0.2,13.23,13.225873656356102
1.5,100.0,100.0,0.0,0.5,0.2,13.23,13.231820271071415
1.5,25.0,25.0,1000.0,1.0,0.2,13.29,13.291499985793465
1.5,25.0,25.0,0.0,1.0,0.2,13.29,13.292979799615722
1.5,100.0,25.0,0.0,0.5,0.2,13.33,13.32675755252064
1.5,100.0,25.0,1000.0,0.5,0.2,13.34,13.340825853609362
3.0,25.0,100.0,1000.0,0.5,0.2,13.65,13.64696705981241
3.0,25.0,100.0,0.0,0.5,0.2,13.65,13.648203277090353
3.0,25.0,25.0,1000.0,0.5,0.2,13.71,13.713643161097933
3.0,25.0,25.0,0.0,0.5,0.2,13.72,13.716818325655034
1.5,100.0,100.0,0.0,1.0,0.2,13.84,13.838805444252266
1.5,100.0,100.0,1000.0,1.0,0.2,13.84,13.841239458494403
1.5,100.0,25.0,0.0,1.0,0.2,13.86,13.861910810670452
1.5,100.0,25.0,1000.0,1.0,0.2,13.86,13.864860687446301
3.0,100.0,100.0,1000.0,0.5,0.2,14.24,14.23550703725638
3.0,100.0,100.0,0.0,0.5,0.2,14.24,14.239878502724036
3.0,100.0,25.0,1000.0,0.5,0.2,14.29,14.285412562757704
3.0,100.0,25.0,0.0,0.5,0.2,14.29,14.287674292867504
3.0,25.0,100.0,1000.0,1.0,0.2,14.31,14.30846966239574
3.0,25.0,100.0,0.0,1.0,0.2,14.31,14.308892143539387
3.0,25.0,25.0,1000.0,1.0,0.2,14.35,14.350817414285299
3.0,25.0,25.0,0.0,1.0,0.2,14.35,14.35106527085923
3.0,100.0,100.0,0.0,1.0,0.2,14.91,14.910958129709794
3.0,100.0,100.0,1000.0,1.0,0.2,14.91,14.913408943741292
3.0,100.0,25.0,0.0,1.0,0.2,14.95,14.948743271287857
3.0,100.0,25.0,1000.0,1.0,0.2,14.95,14.951117532628476
0.5,25.0,100.0,1000.0,0.5,0.35,15.22,15.220646874682519
0.5,25.0,100.0,0.0,0.5,0.35,15.23,15.227460852904361
0.5,25.0,25.0,1000.0,0.5,0.35,15.34,15.336593661731413
0.5,25.0,25.0,0.0,0.5,0.35,15.34,15.337743946693427
0.5,25.0,100.0,1000.0,1.0,0.35,16.27,16.273578035495184
0.5,25.0,100.0,0.0,1.0,0.35,16.28,16.277604468578332
0.5,25.0,25.0,1000.0,1.0,0.35,16.38,16.377851907309804
0.5,25.0,25.0,0.0,1.0,0.35,16.38,16.380767131468076
0.5,100.0,100.0,1000.0,0.5,0.35,16.56,16.55640208883313
0.5,100.0,100.0,0.0,0.5,0.35,16.56,16.561441859412483
0.5,100.0,25.0,1000.0,0.5,0.35,16.72,16.717086697845573
0.5,100.0,25.0,0.0,0.5,0.35,16.72,16.722664181538693
0.5,100.0,100.0,0.0,1.0,0.35,17.64,17.635803419423635
0.5,100.0,100.0,1000.0,1.0,0.35,17.65,17.645720285291944
0.5,100.0,25.0,1000.0,1.0,0.35,17.78,17.783674334714238
0.5,100.0,25.0,0.0,1.0,0.35,17.79,17.790956282530047
1.5,25.0,100.0,1000.0,0.5,0.35,17.83,17.832376061240108
1.5,25.0,100.0,0.0,0.5,0.35,17.84,17.84036136595304
1.5,25.0,25.0,0.0,0.5,0.35,18.01,18.005635305129708
1.5,25.0,25.0,1000.0,0.5,0.35,18.02,18.021423329399934
1.5,25.0,100.0,1000.0,1.0,0.35,19.07,19.072182585542706
1.5,25.0,100.0,0.0,1.0,0.35,19.08,19.076986076223857
1.5,100.0,100.0,1000.0,0.5,0.35,19.15,19.151288794099685
1.5,100.0,100.0,0.0,0.5,0.35,19.16,19.16247680050556
1.5,25.0,25.0,1000.0,1.0,0.35,19.21,19.211285290699177
1.5,25.0,25.0,0.0,1.0,0.35,19.21,19.21339194437046
1.5,100.0,25.0,0.0,0.5,0.35,19.33,19.326022040457435
1.5,100.0,25.0,1000.0,0.5,0.35,19.35,19.35071822589269
0.5,25.0,100.0,1000.0,0.5,0.5,19.72,19.716013100757745
0.5,25.0,100.0,0.0,0.5,0.5,19.73,19.72605788328923
0.5,25.0,25.0,1000.0,0.5,0.5,19.89,19.891628137504558
0.5,25.0,25.0,0.0,0.5,0.5,19.89,19.893291744907216
3.0,25.0,100.0,1000.0,0.5,0.35,19.96,19.9570821249798
3.0,25.0,100.0,0.0,0.5,0.35,19.96,19.959174177804194
3.0,25.0,25.0,1000.0,0.5,0.35,20.08,20.075854108080836
3.0,25.0,25.0,0.0,0.5,0.35,20.08,20.081810915373243
1.5,100.0,100.0,0.0,1.0,0.35,20.53,20.53389978782483
